주차장명,주소,위도,경도,주차장코드,주소_안내정보,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,주차현황 정보 제공여부,주차현황 정보 제공여부명,총 주차면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 시간(분 단위),버스 추가 단위 요금,일 최대 요금
구로디지털단지역,구로구 구로동 810-3,37.48543179,126.9012433,1037932,구로구 구로동 810-3,NW,노외 주차장,1,시간제 주차장,02-2290-6034,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),91,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:55,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700
구파발역,은평구 진관동 66-30,37.63800702,126.9193218,1051043,은평구 진관동 66-30,NW,노외 주차장,1,시간제 주차장,02-2290-6088,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),399,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:55,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200
신설동,동대문구 신설동 114-29,37.57252061,127.0242568,1247636,동대문구 신설동 114-29,NW,노외 주차장,1,시간제 주차장,02-2232-6096,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),71,Y,유료,N,야간 미개방,900,1900,900,1900,900,1900,2023-12-29 10:03,N,무료,N,무료,,,260,5,260,5,0,0,0,0,18700
영등포구청역,영등포구 당산동3가 370-3,37.52432737,126.8954889,1277144,영등포구 당산동3가 370-3,NW,노외 주차장,1,시간제 주차장,02-2290-6089,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),137,Y,유료,N,야간 미개방,500,100,500,100,500,100,2024-08-09 10:39,N,무료,N,무료,112000,,260,5,260,5,0,0,0,0,18700
잠실역,송파구 신천동 27-0,37.51427683,127.1034141,1277145,송파구 신천동 27-0,NW,노외 주차장,1,시간제 주차장,02-2290-6402,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),357,Y,유료,N,야간 미개방,500,100,500,100,500,100,2024-08-09 10:42,N,무료,N,무료,250000,,400,5,400,5,0,0,0,0,28800
장안2동,동대문구 장안동 286-9,37.5782752,127.070619,1277146,동대문구 장안동 286-9,NW,노외 주차장,1,시간제 주차장,02-2290-6417,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),80,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 11:17,N,무료,N,무료,70000,,130,5,130,5,0,0,0,0,9300
개화역,강서구 개화동 664-0,37.57798421,126.7982122,1366576,강서구 개화동 664-0,NW,노외 주차장,1,시간제 주차장,02-2290-6312,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),483,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 10:18,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200
신대방역,관악구 신림동 498-0,37.48830327,126.9145228,1366590,관악구 신림동 498-0,NW,노외 주차장,1,시간제 주차장,02-2290-6144,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),60,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:02,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700
동구로,구로구 구로동 94-1,37.49510602,126.8918616,1367120,구로구 구로동 94-1,NW,노외 주차장,1,시간제 주차장,02-3405-4086,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),71,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:57,N,무료,N,무료,140000,,320,5,320,5,0,0,0,0,23000
도봉산역,도봉구 도봉동 288-19,37.68972069,127.0448386,1372873,도봉구 도봉동 288-19,NW,노외 주차장,1,시간제 주차장,02)2290-6047 ,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),358,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:57,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200
수서역남,강남구 수서동 727-0,,,1374090,강남구 수서동 727-0,NW,노외 주차장,1,시간제 주차장,02-3405-4076,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),69,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:01,N,무료,N,무료,168000,,320,5,320,5,0,0,0,0,23000
동대문,중구 신당동 251-7,37.56710187,127.0121411,1384198,중구 신당동 251-7,NW,노외 주차장,1,시간제 주차장,02)2254-4901 ,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1092,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:58,N,무료,N,무료,157000,,360,5,360,5,0,0,0,0,25900
서울글로벌센터,종로구 서린동 63-0,37.56983402,126.9815059,1386536,종로구 서린동 63-0,NW,노외 주차장,1,시간제 주차장,02-720-9862,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),44,Y,유료,N,야간 미개방,900,1800,0,0,0,0,2023-12-29 10:00,Y,유료,Y,유료,280000,,700,5,700,5,0,0,0,0,50400
천왕역,구로구 오류동 174-10,37.48728845,126.8391832,1404936,구로구 오류동 174-10,NW,노외 주차장,1,시간제 주차장,02-2290-6343,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),325,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:12,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200
종묘,종로구 인의동 107-1,37.57278931,126.996793,1451370,종로구 인의동 107-1,NS,노상 주차장,4,버스전용 주차장,02-2290-6449,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,N,무료,N,야간 미개방,0,0,0,0,0,0,2021-10-07 13:23,Y,유료,Y,유료,0,1.11102E+12,0,0,0,0,0,0,0,0,0
신방화역,강서구 마곡동 739-0,37.56706812,126.8175763,1575751,강서구 마곡동 739-0,NW,노외 주차장,1,시간제 주차장,02-3405-4581,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),199,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:02,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200
가양라이품,강서구 가양동 1457-1,37.57155732,126.8416529,1576703,강서구 가양동 1457-1,NW,노외 주차장,1,시간제 주차장,02-2290-6144,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),38,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 11:30,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200
신월4동,양천구 신월동 411-1,37.525643,126.837692,1588341,양천구 신월동 411-1,NW,노외 주차장,1,시간제 주차장,02-2290-6311,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),46,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:04,N,무료,N,무료,80000,,120,5,120,5,0,0,0,0,8600
세종로,종로구 세종로 80-1,37.57340269,126.9758843,171721,종로구 세종로 80-1,NW,노외 주차장,1,시간제 주차장,02-2290-6566,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1260,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:00,N,무료,N,무료,176000,,430,5,430,5,0,0,0,0,30900
종묘,종로구 훈정동 2-0,37.57150398,126.9949689,171730,종로구 훈정동 2-0,NW,노외 주차장,1,시간제 주차장,02-2290-6166,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1317,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:11,N,무료,N,무료,175000,,400,5,400,5,0,0,0,0,28800
훈련원공원,중구 을지로5가 40-3,37.56740014,127.0035206,171900,중구 을지로5가 40-3,NW,노외 주차장,1,시간제 주차장,02-3405-4597,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),873,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 11:22,N,무료,N,무료,176000,,550,5,550,5,0,0,0,0,39600
한강진역,용산구 한남동 728-27,37.53952176,127.0025796,172051,용산구 한남동 728-27,NW,노외 주차장,1,시간제 주차장,02-795-6406,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),174,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-06-21 11:29,N,무료,N,무료,168000,,400,5,400,5,0,0,0,0,28800
용산주차빌딩,용산구 한강로2가 12-9,37.53436379,126.9654182,172065,용산구 한강로2가 12-9,NW,노외 주차장,1,시간제 주차장,02-2290-6014,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),561,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 10:40,N,무료,N,무료,168000,,300,5,300,5,0,0,0,0,21600
마포유수지,마포구 마포동 36-1,37.53890027,126.9426686,172844,마포구 마포동 36-1,NW,노외 주차장,5,시간제 + 버스전용 주차장,02-2290-6093,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),503,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:59,N,무료,N,무료,162000,,220,5,220,5,,,,,15800
웃우물,양천구 신정동 943-25,37.52379759,126.8514175,172935,양천구 신정동 943-25,NW,노외 주차장,1,시간제 주차장,02-2290-6311,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),79,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 10:41,N,무료,N,무료,140000,,220,5,220,5,0,0,0,0,15800
개화산역,강서구 방화동 845-0,37.57224302,126.8051898,172979,강서구 방화동 845-0,NW,노외 주차장,1,시간제 주차장,02-2290-6064,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),321,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-26 17:02,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200
사당노외,서초구 방배동 507-1,37.47543791,126.9837737,173452,서초구 방배동 507-1,NW,노외 주차장,1,시간제 주차장,02-3405-4078,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),183,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:59,N,무료,N,무료,182000,,400,5,400,5,0,0,0,0,28800
수서역북,강남구 수서동 735-0,37.48801285,127.09995,173553,강남구 수서동 735-0,NW,노외 주차장,1,시간제 주차장,02-3405-4076,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),575,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-02-07 11:53,N,무료,N,무료,168000,,320,5,320,5,0,0,0,0,23000
신천유수지,송파구 신천동 14-0,37.52231457,127.1029033,173646,송파구 신천동 14-0,NW,노외 주차장,1,시간제 주차장,02-414-6417,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),192,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 11:28,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700
복정역,송파구 장지동 600-2,37.47005293,127.1277329,173752,송파구 장지동 600-2,NW,노외 주차장,1,시간제 주차장,02-3405-4075,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),362,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:59,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200
볕우물,강동구 암사동 473-3,37.55237413,127.1351228,173840,강동구 암사동 473-3,NW,노외 주차장,1,시간제 주차장,02-2290-6410,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),97,Y,유료,N,야간 미개방,0,0,0,0,0,0,2023-12-29 10:06,Y,유료,Y,유료,90000,,130,5,130,5,0,0,0,0,9300
천호역,강동구 천호동 455-0,37.53849749,127.1251285,173867,강동구 천호동 455-0,NW,노외 주차장,1,시간제 주차장,02-2290-6201,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1431,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-01-02 12:06,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700
남산예장,중구 예장동 4-1,37.559821,126.989076,1913385,중구 예장동 4-1,NW,노외 주차장,4,버스전용 주차장,02-2290-7227,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),39,Y,유료,N,야간 미개방,600,2400,600,2400,600,2400,2023-07-12 11:18,N,무료,N,무료,0,,6000,120,500,5,6000,120,5,500,0
장안1동,동대문구 장안동 392-3,37.56941,127.066994,1913393,동대문구 장안동 392-3,NW,노외 주차장,1,시간제 주차장,02-3405-4598,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),71,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 11:23,N,무료,N,무료,90000,,130,5,130,5,0,0,0,0,9300
훈련원공원,중구 을지로5가 40-2,37.566858,127.003745,1913605,중구 을지로5가 40-2,NS,노상 주차장,4,버스전용 주차장,,0,미연계중,1,N,무료,N,야간 미개방,0,0,0,0,0,0,2021-09-10 10:37,Y,유료,Y,유료,0,1.11402E+12,0,0,0,0,0,0,0,0,0
